MeanR,StdR,MeanG,StdG,Kappa,Sample ID,Volume_Fraction
13.265,2.6033,1.1137,0.036562,0.12854,131,0.43342
14.543,1.5008,0.25992,0.037279,0.47728,132,0.34117
3.005,0.0014073,0.56081,0.15273,524520.0,133,0.38428
6.5865,1.5598,0.15208,0.016179,1.1379,134,0.29773
3.9083,0.29393,1.2063,0.62358,3.7628e-06,135,0.39199
11.021,2.1871,1.0099,0.020327,1693800.0,136,0.48044
23.464,1.1626,0.73502,0.065029,103260.0,137,0.41279
9.8477,2.0548,0.5391,0.037416,0.0005914,138,0.43314
4.4198,0.38361,0.58903,0.10488,0.011817,139,0.40733
17.791,1.2784,1.455,0.39677,0.62857,140,0.39481
9.7741,2.542,1.3125,0.46643,2.6802,141,0.43959
28.887,0.15811,0.33668,0.062603,3.8165e-05,142,0.34495
12.426,0.62622,2.6471,0.33431,1.5238,143,0.37474
3.2334,0.068513,4.0709,0.29545,0.16644,144,0.31389
12.693,1.0399,0.17844,0.025372,1.27,145,0.30261
5.4245,0.086907,0.93445,0.42202,14.574,146,0.38691
6.0288,1.0676,2.0574,0.8786,7.861,147,0.42097
4.1592,0.1879,0.24401,0.024809,1.3261,148,0.32383
9.4437,0.28859,0.58525,0.28412,2.8545,149,0.37758
8.0966,1.3338,0.31678,0.0049135,2.2556,150,0.38991
26.211,0.80918,0.20268,0.0048679,0.54257,151,0.28777
3.0421,0.013563,2.2501,0.30951,8.0617e-09,152,0.33258
3.7301,0.053193,6.8801,0.50875,112400000.0,153,0.36364
29.773,0.046378,0.65207,0.041102,0.45131,154,0.38886
4.2327,0.41151,0.24429,0.059597,0.25175,155,0.33912
22.864,1.1962,0.90308,0.29636,3.2458e-10,156,0.39613
20.477,0.058702,0.13041,0.0088287,1.5096e-08,157,0.22641
18.944,1.8415,0.22975,0.060243,119990.0,158,0.41823
4.7445,0.47431,1.1076,0.85839,0.28538,159,0.38779
6.4562,0.67451,0.90254,0.39804,52329.0,160,0.42946
23.215,0.9083,0.11243,0.0040661,3.0479,161,0.21676
4.5712,0.087108,0.15811,0.014886,0.21217,162,0.27321
5.3653,0.66449,0.53395,0.20242,1.4102,163,0.40375
